Id,Bikes_Rented
4136,694
6705,1186
3538,789
6583,511
1993,190
6751,511
6483,281
6951,222
4406,1396
2021,39
6660,995
5642,487
5243,1129
921,387
7154,292
5408,787
3737,2014
5390,999
6217,842
254,253
6978,3277
5157,2264
8700,635
691,395
7401,47
7177,594
813,335
288,168
8140,107
7746,2631
7980,737
2461,678
2740,90
4569,1102
2939,662
1299,32
2438,603
7377,0
5289,575
7230,0
7983,884
7840,1294
5182,2091
2430,261
7876,161
6273,645
4783,1590
391,53
6043,1698
8037,1069
8593,507
444,191
7257,1076
7520,2082
1768,239
6296,1912
2245,429
7315,2122
5417,1433
8359,1047
1122,592
4371,366
3628,187
2639,294
3590,1814
2820,629
2213,55
2441,931
4272,770
8162,0
7691,961
1070,304
5812,244
3198,368
7440,1049
67,422
3555,325
516,301
4360,1550
545,453
8174,0
6506,243
4184,2081
331,410
5275,2272
6096,997
858,635
3167,0
89,515
6306,2628
574,110
7987,1377
8440,974
8627,522
3480,536
4008,118
8346,2159
2584,1059
3990,135
8301,689
6410,708
8515,1317
2242,239
6310,1630
6807,1249
7093,1409
7655,914
8135,656
2488,1049
4076,1872
7761,921
2025,214
1685,36
8008,1110
4901,339
6042,1850
4857,1360
5090,586
7421,0
1892,145
7204,151
8016,294
3680,1946
3300,1112
1458,100
1627,251
1271,139
4109,200
6228,904
3570,1882
662,311
3281,1753
6149,254
6378,1447
3732,1258
2801,960
2615,382
7181,150
1717,296
6661,997
3287,733
311,174
4304,2234
3353,1534
911,149
7455,2167
3111,1038
2134,461
4984,56
5818,582
3601,362
4530,3221
7679,950
2704,901
2912,342
4941,2153
3485,148
6838,1868
859,443
4556,2476
5570,684
82,311
2605,387
259,371
1917,226
8392,1123
5014,1959
7962,651
4148,30
6137,1358
5086,1107
3191,772
5208,1075
5387,887
7513,144
2828,1133
1520,558
5245,1399
5753,863
6547,1707
6148,209
7675,1867
8217,56
3402,1986
218,243
4314,2154
4535,1290
4883,1020
7657,568
8623,142
5376,1006
3001,373
5321,1603
5774,630
8433,644
8185,410
2379,139
3819,187
3943,1251
4133,182
3731,1024
837,310
1851,36
7697,1896
1064,81
2842,482
4086,190
2992,1413
3126,370
1262,249
4354,936
6647,486
7235,0
1177,207
1655,164
6596,1440
891,102
6439,381
6696,963
4402,1044
4799,1732
5239,567
103,381
6525,22
2093,65
4300,204
3665,813
6652,186
3755,10
3361,436
3929,2410
3160,0
1289,239
128,802
3015,37
4096,2143
2008,404
2150,17
2773,504
1293,145
2776,819
8711,555
941,52
4868,2556
1740,174
386,132
4717,1035
6802,862
8698,583
7543,1233
4908,1374
3506,409
229,182
1806,108
3315,164
1038,42
2179,231
2512,214
5481,1031
8154,2357
6609,721
5745,671
8740,116
4887,1203
895,60
5727,776
177,395
3189,1241
2408,212
5816,1665
627,81
4444,172
2537,1160
4205,201
1380,145
2742,71
8330,330
2098,289
4421,193
5769,519
1160,537
7994,283
7632,638
7365,1594
2688,335
4625,1475
4537,769
4814,1258
507,99
7672,1407
6073,881
3069,443
3583,307
1183,334
6840,949
5766,266
5790,668
4669,1834
8209,158
8697,798
8126,1511
901,265
1522,187
7330,0
5039,931
8234,0
2320,646
7889,1961
8196,697
4751,1615
6194,381
2345,757
1933,332
7563,225
6434,600
4329,1200
728,84
372,252
3249,513
161,552
8641,214
5630,670
7992,488
6782,1662
3219,62
1814,398
4869,2436
5169,1191
7604,1261
3861,0
2450,161
1822,218
8738,300
3858,0
21,405
2064,182
8455,191
2174,375
2201,631
2351,315
7254,290
4388,2163
6754,1096
2800,774
2989,951
7976,1888
1956,356
4517,288
8513,1269
5076,858
3600,569
8458,583
3703,1260
702,62
8393,1416
5641,715
2909,96
2929,295
6901,1155
7298,262
3633,1024
5100,9
4960,1407
3585,716
5134,83
3285,1355
4785,1263
2136,266
130,307
8613,392
550,282
7913,1386
2463,815
4028,17
5591,1288
6332,2169
4423,423
7324,0
5558,741
1432,195
6368,1678
307,373
7785,679
2120,767
7487,1196
3790,1336
4427,977
5487,878
2726,855
1759,236
5201,1381
8467,759
8560,759
751,81
74,112
6090,1274
1912,404
1395,67
8421,907
2040,226
4080,986
7369,0
2959,1033
5233,1079
4503,1674
7499,0
1103,230
2588,146
617,350
5706,2367
6036,484
4900,375
7482,2787
1079,144
2844,714
3663,143
1172,303
5322,1665
669,332
4804,268
8311,1004
8219,25
5257,946
712,345
3946,779
7374,0
2666,173
5529,985
4974,37
5284,206
6733,1119
7025,0
412,29
1126,321
342,129
6613,1254
8334,402
1447,214
