Album,Artist,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackURI,TrackID
Taylor Swift,Taylor Swift,Tim McGraw,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,4,spotify:track:0Om9WAB5RS09L80DyOfTNa,0Om9WAB5RS09L80DyOfTNa
Taylor Swift,Taylor Swift,Picture To Burn,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,173067,4,spotify:track:32mVHdy0bi1XKgr0ajsBlG,32mVHdy0bi1XKgr0ajsBlG
Taylor Swift,Taylor Swift,Teardrops On My Guitar,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,203040,4,spotify:track:7zMcNqs55Mxer82bvZFkpg,7zMcNqs55Mxer82bvZFkpg
Taylor Swift,Taylor Swift,A Place In This World,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,199200,4,spotify:track:73OX8GdpOeGzKC6OvGSbsv,73OX8GdpOeGzKC6OvGSbsv
Taylor Swift,Taylor Swift,Cold as You,0.418,0.482,5,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558,239013,4,spotify:track:7an1exwMnfYRcdVQm0yDev,7an1exwMnfYRcdVQm0yDev
Taylor Swift,Taylor Swift,The Outside,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,207107,4,spotify:track:2QA3IixpRcKyOdG7XDzRgv,2QA3IixpRcKyOdG7XDzRgv
Taylor Swift,Taylor Swift,Tied Together With A Smile,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,248107,4,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,6K0CJLVXqbGMeJSmJ4ENKK
Taylor Swift,Taylor Swift,Stay Beautiful,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,236053,4,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,2ZoOmCSgj0ypVAmGd1ve4y
Taylor Swift,Taylor Swift,Should've Said No,0.726,0.28,6,-11.744,0,0.941,0.83,0.0,0.144,0.591,118.747,81270,4,spotify:track:0ST1G2zAOuSPd6rYdF3RS0,0ST1G2zAOuSPd6rYdF3RS0
Taylor Swift,Taylor Swift,Mary's Song (Oh My My My),0.403,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,213080,4,spotify:track:2QrQCMel6v2JiLxqrg4p2O,2QrQCMel6v2JiLxqrg4p2O
